,File1,File2,Accuracy
0,ENCFF127XXD_H3K4me3.bed,ENCFF099LMD_H3K4me2.bed,0.6416597828286462
1,ENCFF127XXD_H3K4me3.bed,ENCFF139CKE_H4K20me1.bed,0.7670987369178236
2,ENCFF127XXD_H3K4me3.bed,ENCFF183UQD_H3K4me1.bed,0.7613970376082324
3,ENCFF127XXD_H3K4me3.bed,ENCFF322IFF_H3K27me3.bed,0.7782974986106657
4,ENCFF127XXD_H3K4me3.bed,ENCFF379CMJ_EP300.bed,0.7450397296120982
5,ENCFF127XXD_H3K4me3.bed,ENCFF498CMP_H3K36me3.bed,0.7801324498308866
6,ENCFF127XXD_H3K4me3.bed,ENCFF578UBP_H3K27ac.bed,0.7554732465478115
7,ENCFF127XXD_H3K4me3.bed,ENCFF624XRN_H2AFZ.bed,0.6051592394088376
8,ENCFF127XXD_H3K4me3.bed,ENCFF737AMS_H3K4me3.bed,0.7512508030719331
9,ENCFF127XXD_H3K4me3.bed,ENCFF894VEM_H3K9me3.bed,0.8089929871131751
10,ENCFF099LMD_H3K4me2.bed,ENCFF139CKE_H4K20me1.bed,0.687803382966857
11,ENCFF099LMD_H3K4me2.bed,ENCFF183UQD_H3K4me1.bed,0.6899851773673689
12,ENCFF099LMD_H3K4me2.bed,ENCFF322IFF_H3K27me3.bed,0.6581403006799065
13,ENCFF099LMD_H3K4me2.bed,ENCFF379CMJ_EP300.bed,0.7685808615347015
14,ENCFF099LMD_H3K4me2.bed,ENCFF498CMP_H3K36me3.bed,0.7921001254084472
15,ENCFF099LMD_H3K4me2.bed,ENCFF578UBP_H3K27ac.bed,0.5601269908971883
16,ENCFF099LMD_H3K4me2.bed,ENCFF624XRN_H2AFZ.bed,0.6021724170105952
17,ENCFF099LMD_H3K4me2.bed,ENCFF737AMS_H3K4me3.bed,0.8009171008714934
18,ENCFF099LMD_H3K4me2.bed,ENCFF894VEM_H3K9me3.bed,0.7645011044697814
19,ENCFF139CKE_H4K20me1.bed,ENCFF183UQD_H3K4me1.bed,0.676830799099559
20,ENCFF139CKE_H4K20me1.bed,ENCFF322IFF_H3K27me3.bed,0.6224248882815773
21,ENCFF139CKE_H4K20me1.bed,ENCFF379CMJ_EP300.bed,0.7978622966965665
22,ENCFF139CKE_H4K20me1.bed,ENCFF498CMP_H3K36me3.bed,0.7826353327729947
23,ENCFF139CKE_H4K20me1.bed,ENCFF578UBP_H3K27ac.bed,0.5941940556687333
24,ENCFF139CKE_H4K20me1.bed,ENCFF624XRN_H2AFZ.bed,0.7071890624796533
25,ENCFF139CKE_H4K20me1.bed,ENCFF737AMS_H3K4me3.bed,0.8811072549054881
26,ENCFF139CKE_H4K20me1.bed,ENCFF894VEM_H3K9me3.bed,0.7412805447387409
27,ENCFF183UQD_H3K4me1.bed,ENCFF322IFF_H3K27me3.bed,0.6773538336310987
28,ENCFF183UQD_H3K4me1.bed,ENCFF379CMJ_EP300.bed,0.7239202019856383
29,ENCFF183UQD_H3K4me1.bed,ENCFF498CMP_H3K36me3.bed,0.6658528976383365
30,ENCFF183UQD_H3K4me1.bed,ENCFF578UBP_H3K27ac.bed,0.650091352656656
31,ENCFF183UQD_H3K4me1.bed,ENCFF624XRN_H2AFZ.bed,0.6705734051627827
32,ENCFF183UQD_H3K4me1.bed,ENCFF737AMS_H3K4me3.bed,0.8986847603711515
33,ENCFF183UQD_H3K4me1.bed,ENCFF894VEM_H3K9me3.bed,0.6463775727837567
34,ENCFF322IFF_H3K27me3.bed,ENCFF379CMJ_EP300.bed,0.8005970521191857
35,ENCFF322IFF_H3K27me3.bed,ENCFF498CMP_H3K36me3.bed,0.7933463692703338
36,ENCFF322IFF_H3K27me3.bed,ENCFF578UBP_H3K27ac.bed,0.5750393709268321
37,ENCFF322IFF_H3K27me3.bed,ENCFF624XRN_H2AFZ.bed,0.7277380741402492
38,ENCFF322IFF_H3K27me3.bed,ENCFF737AMS_H3K4me3.bed,0.8919246574510905
39,ENCFF322IFF_H3K27me3.bed,ENCFF894VEM_H3K9me3.bed,0.7264033351016129
40,ENCFF379CMJ_EP300.bed,ENCFF498CMP_H3K36me3.bed,0.7254166754533341
41,ENCFF379CMJ_EP300.bed,ENCFF578UBP_H3K27ac.bed,0.8005745408553162
42,ENCFF379CMJ_EP300.bed,ENCFF624XRN_H2AFZ.bed,0.7430428342944168
43,ENCFF379CMJ_EP300.bed,ENCFF737AMS_H3K4me3.bed,0.8792950488427077
44,ENCFF379CMJ_EP300.bed,ENCFF894VEM_H3K9me3.bed,0.7478889236939202
45,ENCFF498CMP_H3K36me3.bed,ENCFF578UBP_H3K27ac.bed,0.7955716589824553
46,ENCFF498CMP_H3K36me3.bed,ENCFF624XRN_H2AFZ.bed,0.7592938989125182
47,ENCFF498CMP_H3K36me3.bed,ENCFF737AMS_H3K4me3.bed,0.9235754337515879
48,ENCFF498CMP_H3K36me3.bed,ENCFF894VEM_H3K9me3.bed,0.6163151454399596
49,ENCFF578UBP_H3K27ac.bed,ENCFF624XRN_H2AFZ.bed,0.6675083923891358
50,ENCFF578UBP_H3K27ac.bed,ENCFF737AMS_H3K4me3.bed,0.8540127208582994
51,ENCFF578UBP_H3K27ac.bed,ENCFF894VEM_H3K9me3.bed,0.7285500692803181
52,ENCFF624XRN_H2AFZ.bed,ENCFF737AMS_H3K4me3.bed,0.7838849550292315
53,ENCFF624XRN_H2AFZ.bed,ENCFF894VEM_H3K9me3.bed,0.7534633496471039
54,ENCFF737AMS_H3K4me3.bed,ENCFF894VEM_H3K9me3.bed,0.9225280630155412
